simulacao,win_start,win_end,src,tgt,krlflow,tsmi,te,gc,gate,r2_auto,r2_gain_max,lag_cons,is_true
1,19200,19800,1,0,0.15606647329240714,0.7269005084307242,0.0008864456032631196,0.10544186451129922,0.998820450954336,0.9792498122833835,0.1564135766839389,0.5002960485489414,
1,19800,20400,0,1,0.19965116786816492,0.5416792328926543,0.0081237642972527,0.9992783290403524,0.11432704751488985,0.6601374284142051,0.20411882467475065,0.5022633828114558,
1,19800,20400,1,0,0.21752533615808023,0.5769973827037613,0.008073068621151869,0.9999999976619188,0.04836275285216627,0.5673398278045864,0.22077169496255244,0.5019286251208271,
1,20400,21000,0,1,0.18840034026070235,0.4411035416158262,0.0,0.568731410464571,0.9962211101518624,0.4859507066806831,0.19711984371823124,0.5048467272843296,
1,20400,21000,1,0,0.20186974382675557,0.4031861798747274,0.0,0.5147142344419684,0.9916580590498045,0.5587580305982401,0.208085989263867,0.5027099248722813,
1,21000,21600,0,1,0.2661907320308754,0.5553842872675734,0.0,0.984717858699152,0.9999923917517402,0.6064035101819544,0.2802546430405016,0.5106571817903067,
1,21000,21600,1,0,0.2511903514441579,0.4830751232460945,0.0014334901489396756,0.9999999971639005,0.9979083216511575,0.5119826020869865,0.25292511828171127,0.5017123686408822,
1,21600,22200,0,1,0.22727169278030943,0.39786380167441515,0.0015567504223163997,0.6790968311644805,0.8164321320373161,0.5682412658743734,0.22956291182995175,0.501599200272793,
1,21600,22200,1,0,0.3317478454094494,0.49716035905875544,0.006837642210180128,0.984076613239625,0.9997052865611916,0.5671392966104719,0.33469327616467026,0.5014121356346416,
1,22200,22800,0,1,0.40545587906580255,0.19248102778091658,0.0,0.46046167096681034,0.9999999999870872,0.4018217668149734,0.41576351010798585,0.5057689465910833,
1,22200,22800,1,0,0.32937744079944486,0.2467383198280524,0.0,0.9999612334236487,0.9999999392297533,0.4921815771692565,0.3338976833270687,0.5022201635570003,
1,22800,23400,0,1,0.25211649040361994,0.31436316269772335,0.0015691559664263721,0.7371543419762765,0.9999457128765943,0.5533253585352544,0.2529420911834097,0.500585042167865,
1,22800,23400,1,0,0.2662160771800162,0.2844036056580803,0.002344371499304332,0.9889753711398102,0.9999800648295549,0.6857414120660703,0.2692874957235885,0.5023864711716701,
1,23400,24000,0,1,0.3049007226960039,0.30469439522418584,0.0,0.6602206662320065,0.9994671090336898,0.6342702850807216,0.306763577756071,0.5014013464865996,
1,23400,24000,1,0,0.3179304581188038,0.44432007862980705,0.0,0.2558612725106988,0.9489145969855615,0.5540383256821597,0.3209760403136901,0.5020419517185418,
1,24000,24600,0,1,0.16459952356788937,0.7894723554128467,0.0,0.7665193802943825,0.9986012919888615,0.9645059697913494,0.165166210856828,0.5003850774899068,
1,24000,24600,1,0,0.1596042656564498,0.7743725757417396,0.000600206693698091,0.7089819490542374,0.999775357553917,0.9711069960732893,0.15983927446735066,0.5001842669730254,
1,24600,25200,0,1,0.23832535768776955,0.4596720362161507,0.011013512018329452,0.9109883509093406,0.9956819570660643,0.5284493391136946,0.24206621050052884,0.5036573761807227,
1,24600,25200,1,0,0.24864286828554194,0.39088651626357884,0.005786332978058528,0.9512888138914414,0.9963285233892152,0.4764626028783331,0.25212504704335187,0.5025649300305144,
1,25200,25800,0,1,0.4548397303111288,0.556419306031664,0.003078297305063815,0.026080582147463116,0.9999999999994571,0.5371585557561576,0.4639102135532818,0.5046343704229805,
1,25200,25800,1,0,0.4547677596083456,0.3369148257608532,0.0,0.1845205109850152,0.999999999980276,0.5922333391992859,0.4591020230852051,0.5027332138977418,
1,25800,26400,0,1,0.4875098368907567,0.33750310566371633,0.0015558857268112014,0.15331025953885802,0.9999999999999998,0.48979121051848284,0.48810185114166815,0.5004482410434341,
1,25800,26400,1,0,0.36908722914246145,0.36615135398945076,0.0,0.9813932979834501,0.9999999998502662,0.5484960997203723,0.3731407113934181,0.5027123923697465,
1,26400,27000,0,1,0.3621177354069627,0.5590022738191944,0.0,0.3939080308041245,0.999999512471938,0.656017962710341,0.3650332001460428,0.5020843790295098,
1,26400,27000,1,0,0.27679509831756965,0.4296426188240846,0.008354672433307009,0.9819879845350211,0.9533175851037272,0.45465389839747494,0.282284754579166,0.5039651367234264,
1,27000,27600,0,1,0.2793773259798123,0.3894249714208341,0.003703925665465624,0.006854886183838671,0.9996187377342928,0.6409030382918626,0.28735781004447003,0.5075468261547097,
1,27000,27600,1,0,0.26845511790409704,0.5146458480936102,0.0,0.010514057322626447,0.9997431226642912,0.8112815778206173,0.27077416179511105,0.5015439520776396,
1,27600,28200,0,1,0.19996280182914727,0.7105275350719484,0.0,0.9752034879234295,0.9999777134696879,0.7689886360705039,0.20486938848559327,0.5034073962132335,
1,27600,28200,1,0,0.20508665779466578,0.8003654723084959,0.0012052715725525687,0.9999999999999999,0.9999701676967813,0.7920308332371786,0.22302115131616018,0.5091837942685605,
1,28200,28800,0,1,0.2309470349039601,0.4321002112481601,0.0035422117538495,0.43001448881939974,0.029173825192140256,0.6453492501295917,0.23402194247114477,0.5018668999961784,
1,28200,28800,1,0,0.20950804121688268,0.4944160149522393,0.0056862400265274005,0.41589890096719906,6.318959981914372e-05,0.6349505282540613,0.21265408409436237,0.5014216230159815,
1,28800,29400,0,1,0.222452242427001,0.7526711935181754,0.00040515823310416366,0.5508659151496134,0.9999977467227243,0.799811135338147,0.23595903832869095,0.5095487202933138,
1,28800,29400,1,0,0.22414703634175392,0.80754033967968,0.0005892457654224081,0.9845817344697988,0.9999616313039229,0.867701886879724,0.22901016036054797,0.5035978303339026,
1,29400,30000,0,1,0.2993212205327652,0.12047006896769807,0.007376344737703766,0.20960458752458422,0.9999922302751445,0.3389691246184957,0.30184692447628675,0.5024296432300175,
1,29400,30000,1,0,0.32149145612206176,0.26060846673839744,0.005150488157943167,0.9722367298310833,0.9999986395898621,0.42723487888346423,0.3395799712396639,0.5111437065599721,
1,30000,30600,0,1,0.5864336875868345,0.461794894012714,0.00155048112211853,0.5811559653064787,0.9999999999999656,0.5071257935108329,0.5928988160920259,0.5023622366525731,
1,30000,30600,1,0,0.3188321645933032,0.4056263476169756,0.019728923840485413,0.6675070199012783,0.9594113457991018,0.5111527201169765,0.3222014428445038,0.5019590191031595,
1,30600,31200,0,1,0.21653747194657588,0.7855309780126778,0.006988338859598819,0.9296905060487836,0.9999972170607475,0.8448507302098154,0.25076769055941206,0.5206281834219875,
1,30600,31200,1,0,0.23591513865573127,0.7731303299322302,0.0,0.8680982607625831,0.9991885043270325,0.7561494877063193,0.24232068384378946,0.5056769475479814,
1,31200,31800,0,1,0.34786555048206197,0.24685998729832692,0.0,0.7774593848625837,0.9999999894443979,0.6433336396423128,0.3559924554672379,0.5058812185669701,
1,31200,31800,1,0,0.32039826883877953,0.34794044455303286,0.004637240417525668,0.2668596265304891,0.9999901728512274,0.5649131752625175,0.32304403840956664,0.5022021972831878,
